"TreeID","RW","Year","PlotID","site","tree","spp","canopy.class","live.dead","dbh","stems","total.cores","ba.cm","ba.meter.ha","density","notes","Distance","Azimuth","plot","Dated","Pith"
"MMA002",NA,1907,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1908,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1909,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1910,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1911,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1912,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1913,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1914,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1915,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1916,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1917,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1918,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1919,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
"MMA002",NA,1920,"MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,120.6,0.227088905,18.83490451,NA,8.42,70,"A","N",1930
