"","ACSA","NYSY","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"1967",0.0615506844146856,0.00118767658511389,0,0.0255332559989508,0.0133174346069953,0.059949231630233,0.000615724398878463,0.0531184878486264,0.0628635861322486,0.00139393075292882,0.000738117865563319,0.00433826633890845
"1966",0.0508337645082422,0.000779146665540888,0,0.025415242422426,0.0133404786038425,0.0587543498494849,0.000596777480080867,0.0479508373747835,0.0676260269247395,0.00106686721713743,0.00088099659569487,0.00523070285835059
"1965",0.0643410042011702,0.00158297500341792,0,0.0214698928825661,0.0137256059322802,0.0587705195676111,0.000498471638266211,0.0509900043476355,0.0685985464018177,0.00105983353953668,0.00124293772051316,0.00427070230892089
"1964",0.0450750561556396,0.00205068361678509,0,0.0216710686890419,0.0125351530775076,0.0578972164335623,0.000467632646700749,0.0301181530500594,0.0473458386669376,0.00137720665532728,0.00106252178777159,0.00292508828696776
"1963",0.0458134577639119,0.00154758200615944,0,0.0228314728997008,0.0104655442789656,0.0618368575663604,0.000455052357861919,0.0241664842277625,0.0402158821491527,0.00100363714109329,0.000849214378775193,0.00425440763615736
"1962",0.0364571677238371,0.000907874124537727,0,0.0127714442630136,0.0107338734769284,0.0465332081722818,0.000295479758943731,0.0226054565397729,0.0380397076520538,0.00100223345707076,0.000672443945683984,0.0030216635484463
"1961",0.017488840585645,0.000569206041378535,0,0.00616514225377301,0.0118555293481372,0.0570631256192053,0.000169341394484494,0.0203472650104954,0.0459355760749567,0.00100181542355898,0.000774363512005681,0.00412164886130985
"1960",0.0200372716912116,0.0012157054385661,0,0.00783341014854755,0.0126975158900328,0.0694382380711842,7.75989834090221e-05,0.0162746211288056,0.0492173220395227,0.00100229867725792,0.000555028171989394,0.00360669590852619
"1959",0.0124129717377939,0.00132031995481595,0,0.00482174199700014,0.0121239433788385,0.0581420335382072,2.08533894318933e-05,0.0150507518563856,0.0513604677525219,0.0010035969202838,0.000517076062987787,0.00462887239901483
"1958",0.0180198488790813,0.00146455899185539,0,0.00622064095407709,0.0131027003987663,0.0677292795096918,6.38997949550675e-07,0.0171671337703201,0.0590078983334319,0.00100575292629777,0.000768122748157081,0.00435902701439862
"1957",0.0178832253998589,0.000654890801907487,0,0.00732832118097759,0.0143903349640787,0.0624857593359525,0,0.0183791129495374,0.0568932240166182,0.00100879527948169,0.000836939219742316,0.0036785029848309
"1956",0.0144129770627659,0.000467758107858318,0,0.0077107377605331,0.0135181597678563,0.0437191734741621,0,0.0182634163754483,0.0528268852578417,0.00101273394408417,0.000837215892003959,0.00382961603525647
"1955",0.0172145137817566,0.000473286725153975,0,0.00804561293930972,0.0129983952165147,0.0358538990768854,0,0.0182710100440961,0.0497711929212241,0.00101757411034747,0.000693885704395152,0.00316662953329994
"1954",0.0143562792289583,0.000489248012227595,0,0.00504635699624728,0.0125283415401423,0.0316415226927909,0,0.0134927674048408,0.0518326757441026,0.00102331537783776,0.000610749976584404,0.00281381946000998
"1953",0.012717529435574,0.000429711663483628,0,0.00434922327241283,0.0117799737721089,0.0382150005452109,0,0.0132370427946009,0.0520444638379365,0.00102994996204016,0.000635477461197409,0.00304017331154422
"1952",0.0125940343820822,0.000430139907267764,0,0.00551672959177846,0.0135837048244431,0.0478032996082814,0,0.0178466408760329,0.0525148100324206,0.00103746058719235,0.000543683256522563,0.00313950523869636
"1951",0.0146993512237992,0.000534611855632954,0,0.0083470359490912,0.0151377854966668,0.0546834465415271,0,0.0210679066898924,0.0653070599594097,0.00104581801437987,0.000721946318673068,0.00365664754828121
"1950",0.0138950882491424,0.000526793287363103,0,0.00792266355652105,0.0140074628172872,0.0530256713669576,0,0.0232270277045816,0.0640298504467327,0.00105497814843372,0.000893932619164518,0.00468392225192142
"1949",0.014615179411843,0.00051901330349223,0,0.00638667096451362,0.0130507517944945,0.0478643548951455,0,0.0265401130383072,0.0601506348426697,0.00106487866182685,0.000819897561269892,0.00199873639108581
"1948",0.0163095198171722,0.00086753039415911,0,0.00768346945371373,0.0111486022008151,0.0383057450254795,0,0.0288024294248794,0.0552307988145877,0.00107543506910868,0.000891708575035177,0.00197935438976332
